NPD_WELL_BORE_NAME,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,ON_STREAM_HRS,WATER_CUT,GOR,OIL_PER_HR,KMeans_Cluster,Ward_Cluster
15/9-F-1 C,2014-04,11142.47,1597936.65,0.0,227.5,0.0,143.4095537165458,48.977890109890104,0,0
15/9-F-1 C,2014-05,24901.95,3496229.65,783.48,733.83334,0.030502895999794437,140.39983414953446,33.93406737284518,0,0
15/9-F-1 C,2014-06,19617.76,2886661.69,2068.48,705.91666,0.09538214093360584,147.14532596993746,27.79047600321545,0,0
15/9-F-1 C,2014-07,15085.68,2249365.75,6243.98,742.41666,0.29273696814670275,149.1060230629312,20.31969487322658,0,0
15/9-F-1 C,2014-08,6970.43,1048190.8,4529.75,432.99166,0.3938851391891257,150.37677732937567,16.098300831013695,0,0
15/9-F-1 C,2014-09,9168.43,1414099.99,8317.59,630.3,0.4756708501991877,154.2357840982589,14.546136760272887,0,0
15/9-F-1 C,2014-10,9468.06,1462063.99,10364.869999999999,745.0,0.5226091152441923,154.42065111543442,12.708805369127516,0,0
15/9-F-1 C,2014-11,6710.33,1044188.2999999999,7234.24,579.775,0.5187854483860026,155.60908330886855,11.574024406019577,0,0
15/9-F-1 C,2014-12,120.29,25857.08,183.44,27.5,0.6039574622197346,214.95618920941058,4.374181818181818,0,0
15/9-F-1 C,2015-01,10875.53,1604934.6,6850.8,479.91667,0.3864759372075325,147.5730010399493,22.661288260730764,0,0
15/9-F-1 C,2015-02,9586.64,1439453.67,10744.99,437.41667,0.5284864027134077,150.15205223102151,21.916494403379733,0,0
15/9-F-1 C,2015-03,5879.22,856681.45,11607.44,320.20833,0.6637882820389943,145.71345348532628,18.360609169661515,0,0
15/9-F-1 C,2015-04,3924.1800000000003,566709.81,9815.16,262.83333,0.7143836603504972,144.41483571090012,14.930298223592876,0,0
15/9-F-1 C,2015-05,3832.69,559060.34,6167.47,181.08333,0.6167371322058848,145.866307997777,21.165338631667534,0,0
15/9-F-1 C,2015-06,6344.5,925337.48,14548.69,466.44986,0.6963364617849165,145.84876349594137,13.601676287350585,0,0
15/9-F-1 C,2015-07,2093.95,315178.96,8454.26,241.66667,0.8014876457711784,150.5188567062251,8.664620570143164,0,0
15/9-F-1 C,2015-08,2871.02,427692.58999999997,5334.03,147.79167,0.65009110243082,148.96886472403534,19.42612868506053,0,0
15/9-F-1 C,2015-09,6460.27,961548.42,14767.12,384.4668,0.6956634800604314,148.84028376522963,16.80319340967803,0,0
